smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,9.257136034727125,0.1622453703703699,9.257136034727125,0.1622453703703699,0.7272302824304794,286.33900000000006,268.195,286.15420919599995,110,0,0.22361307716644327,-0.39576253916630044,0.39576253916630044,0.22361307716644327,1.3333333333333333,2.1904761904761907,2.9047619047619047,1.7339568373952159,704.7972989715106,14.396976746569035,11.605946986573363,11.605946986573363,10.241514740667455,7.301056943267136,7.301056943267136,5.803680855058162,5.803680855058162,4.098384016973035,4.098384016973035,2.7921243136477845,2.7921243136477845,-2.1499999999999995,128289.44304880172,12.580123737360514,4.696423830473371,2.2293171590176106,121.45834382482485,20.72408312380058,0.0,16.981740716219015,5.948339280986494,0.0,0.0,0.0,4.9839785209472085,9.967957041894417,0.0,12.152040213667762,19.26246486877803,18.566628839822272,12.369160903912501,5.106527394840706,22.93007999720551,0.0,19.51903521063298,5.917906046161393,31.34614652707395,17.657338045681435,18.479360288432304,0.0,0.0,11.050456081168516,11.766202058821523,0.0,0.0,37.27428539913456,0.0,5.917906046161393,25.30430569792599,18.479360288432304,0.0,11.16387793838399,0.0,101.88,0.0,5.106527394840706,0.0,24.514968120808767,6.041840829147961,36.24420558499705,0.0,6.3273200747645415,10.643119754625236,26.344744273681837,5.733667477162185,2.0115192743764174,0.0,13.083932350718065,12.61571895863743,7.3497308830939785,1.1835306174939109,0.6463154801380805,9.104055755018056,0.1718633471907285,0.0,0.5,21,4,7,2,0,2,0,2,2,7,3,7,4,1,0,1,4,1.0922999999999996,79.74990000000004
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,14.914247941858033,-1.8467790782883327,14.914247941858033,0.024037556470749566,0.02467450123194097,1416.088999999999,1320.328999999999,1414.6840713999995,544,0,0.2474812997129853,-0.5079666451555881,0.5079666451555881,0.2474812997129853,0.6039603960396039,1.1485148514851484,1.7425742574257426,1.2487351587551052,3697.112401389168,74.03550074346876,57.965065755944636,58.720994701963086,47.990329205277156,33.77662496654778,34.154589439557,26.146752125783888,26.583187906255876,17.09887809033906,17.350854405678547,11.679477896595573,11.805466054265315,-10.060000000000008,3.5462539640319115e+25,79.92106970389952,39.07200715724123,25.259435128385505,591.8987695633923,79.33130664176372,66.1679201247635,0.0,70.88615675221807,0.0,0.0,62.51842472980906,0.0,0.0,0.0,112.09229351053435,121.2694191273463,69.65761336609987,13.027703587438928,67.74750099854327,93.25954507138017,0.0,62.634895418705156,17.385241000485763,178.63171017095746,26.744066759015258,142.79836658760286,0.0,5.749511833283905,59.31843239038136,0.0,5.749511833283905,11.600939890232516,189.08732540419044,83.21773270056592,5.917906046161393,108.74198052541378,115.52192730707357,5.022633313741326,10.772448428929591,0.0,424.9799999999999,144.3322686311366,67.74750099854327,0.0,69.1997664749879,53.08366055521991,15.67235815978007,62.45421152998151,50.24567681015091,56.31204387861251,52.83507595700419,23.068274844556885,0.0,6.229278856846381,174.54558580329694,47.91112494942553,13.141629216813232,-10.60954643380479,14.4884169555302,3.2286576455754177,9.830651574949178,1.1786458758123337,0.4583333333333333,101,15,28,0,1,1,4,1,5,16,13,29,38,0,1,1,6,1.1679999999999875,377.1827000000008
CC(=O)O[C@@H]1CC[C@]2(C)C(=CC[C@H]3[C@H]2CC[C@@]2(C)C(c4cccnc4)=CC[C@H]32)C1,11.435955572770927,-0.1377007459886037,11.435955572770927,0.08570544158718119,0.4604575535940218,391.55500000000006,358.2910000000001,391.251129296,154,0,0.30241054584155885,-0.46222359110789946,0.46222359110789946,0.30241054584155885,1.103448275862069,1.9310344827586208,2.689655172413793,1.4089371329614317,871.9543379319286,20.225403871315223,17.986960336629778,17.986960336629778,13.91548734351141,11.39413067628278,11.39413067628278,10.284957010689167,10.284957010689167,8.94467372547981,8.94467372547981,7.499803127405298,7.499803127405298,-1.8999999999999997,5686486.191199465,19.086641990880988,6.820637462097804,2.9161110801187298,174.18737215383746,4.736862953800049,6.103966387748303,0.0,0.0,0.0,5.969305287951849,9.77851570501903,0.0,0.0,0.0,37.63898621157988,84.31155190506168,25.738245965842786,0.0,9.53140013787187,11.542409818021117,0.0,4.9839785209472085,28.583699077277743,71.82092934730225,0.0,47.8150175155834,0.0,0.0,0.0,0.0,0.0,0.0,17.05725019664736,9.53140013787187,28.583699077277743,71.28041445125095,42.251566023886404,0.0,5.573104530069267,0.0,39.19,0.0,4.794537184071822,0.0,22.903252614493713,0.0,37.01618300726221,43.74357971316092,5.573104530069267,12.393687143226153,43.11622727091944,4.736862953800049,5.57562584160684,0.0,15.821722810772286,0.0,4.986705580568854,2.122458955237565,4.297374591279142,17.140962970443752,6.555149250091565,0.0,0.6153846153846154,29,0,3,4,0,4,0,1,1,3,0,3,2,2,0,2,5,5.969400000000007,114.85400000000004
CC(=O)NCCCS(=O)(=O)O,10.245191326530612,-3.873364984882842,10.245191326530612,0.2080205971277398,0.447848265705855,181.213,170.12499999999997,181.040878832,66,0,0.26441604402924446,-0.35631172827914365,0.35631172827914365,0.26441604402924446,1.5454545454545454,2.090909090909091,2.4545454545454546,3.3690222824837357,220.6369168193097,8.905777393935816,6.201527100915053,7.018023681842779,4.9165022194363885,3.112260189588407,4.72142549711481,2.122554734482799,3.6946315959727816,0.9530135011235779,1.7575961548867791,0.5189890202395527,1.0281282928060553,-0.6200000000000001,147.42548024608266,10.379999999999999,4.2978334955801865,9.379999999999997,65.5390397791084,5.316788604006331,0.0,0.0,5.907179729351506,10.118126859033554,0.0,9.347287057762186,0.0,8.417796984328938,0.0,0.0,6.4208216229260096,13.4684936056032,5.752853606746789,17.76508404209112,16.02530658838506,0.0,5.316788604006331,0.0,13.344558822616634,12.297610012659364,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,31.17533660003017,14.912664043105377,0.0,13.344558822616634,0.0,0.0,0.0,0.0,83.47,10.118126859033554,13.212334168400758,0.0,24.62561136493688,0.0,0.0,6.923737199690624,0.0,0.0,5.316788604006331,4.552749873690364,28.479941893424037,0.0,10.245191326530612,2.403611111111111,0.0,-0.520242819349962,0.0,0.2345370370370372,1.6136597694633408,-3.873364984882842,0.8,11,2,5,0,0,0,0,0,0,3,2,6,4,0,0,0,0,-0.5995999999999997,39.71630000000001
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,10.90133309830491,-1.932494021058513,10.90133309830491,0.022477208759193124,0.10348325925697462,645.6080000000004,602.2640000000004,645.2480135359999,256,0,0.18673275214001375,-0.3935663186757658,0.3935663186757658,0.18673275214001375,0.6363636363636364,1.1590909090909092,1.7272727272727273,1.4210571433946437,958.0590345627957,32.61807319565799,23.523343921170923,23.523343921170923,20.745727575864535,14.123128911900501,14.123128911900501,11.371665745324819,11.371665745324819,8.475984148209028,8.475984148209028,5.813814239640656,5.813814239640656,-1.0200000000000002,2893816093.2773805,35.82723940529772,14.81630679946309,6.964551819240929,250.2275612367375,95.38595950593577,79.35156304072792,18.870080188005637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076020106833881,12.496841729759891,0.0,38.00829393958298,90.06917090192943,0.0,0.0,5.316788604006331,0.0,123.33302847446839,19.820645893538753,11.64912463690315,0.0,0.0,5.316788604006331,0.0,0.0,0.0,202.61479330124564,23.684314769000245,0.0,6.923737199690624,11.64912463690315,0.0,0.0,0.0,321.17,136.22993716831655,66.38485613292916,0.0,5.573104530069267,0.0,0.0,12.999757306524504,0.0,0.0,5.316788604006331,23.684314769000245,27.385218675731934,0.0,0.0,135.59295958346112,0.022477208759193124,0.0,-2.168167928638442,-26.57953544382702,-0.7529520954868139,0.0,0.92,44,14,19,1,3,4,0,0,0,19,14,19,9,0,3,3,4,-8.564500000000008,137.73510000000002
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,11.822072695622477,-0.6702391882041054,11.822072695622477,0.08486161150257465,0.5710137425129463,336.4320000000002,308.2080000000001,336.204907376,134,0,0.22385845251294295,-0.49007957401745683,0.49007957401745683,0.22385845251294295,1.2916666666666667,2.0,2.5833333333333335,2.73009149991943,557.949784082855,18.11251969619286,14.887136937585868,14.887136937585868,11.328606258093464,8.321366148025241,8.321366148025241,6.093077728728182,6.093077728728182,3.3126242824908747,3.3126242824908747,2.0759200164706675,2.0759200164706675,-1.92,131163.9839691785,20.125289855072463,10.050998753143157,7.103162169389493,143.1412560412628,20.476967556653413,18.460360185545127,5.783244946364939,5.907179729351506,0.0,0.0,9.589074368143644,0.0,0.0,0.0,20.771211599071872,31.543660028001465,24.69480513267011,5.563451491696996,19.432464716784395,17.377810950400008,0.0,5.316788604006331,0.0,52.68239926151077,18.468426974431825,23.762552697081826,0.0,5.749511833283905,15.37044016181271,5.687386274683562,5.749511833283905,0.0,42.09439765787891,4.794537184071822,0.0,50.89458072038333,18.19910120538483,0.0,0.0,0.0,87.66,6.103966387748303,14.69560176298435,0.0,24.339147469377323,29.96592762850305,6.4208216229260096,6.923737199690624,18.19910120538483,20.771211599071872,10.633577208012662,4.736862953800049,5.576467387881079,0.0,23.47522497492163,15.7660186028585,0.9456853222234718,0.15446815558641336,5.205845560646315,0.521818728957666,7.854471266924925,0.0,0.5555555555555556,24,3,6,0,0,0,1,0,1,5,3,6,10,0,0,0,1,2.3655,94.62470000000005
CC(=O)Nc1ccc(O)cc1,10.524468537414965,-0.11510204081632636,10.524468537414965,0.11510204081632636,0.5950261967780848,151.16499999999996,142.093,151.063328528,58,0,0.22074743631242585,-0.5079643157925783,0.5079643157925783,0.22074743631242585,1.3636363636363635,1.9090909090909092,2.3636363636363638,2.736298072105655,253.2994975838911,8.267584713501616,6.164862962722324,6.164862962722324,5.1815405503520555,3.249098148027829,3.249098148027829,2.2280602421898714,2.2280602421898714,1.1876733148984597,1.1876733148984597,0.7480265991539317,0.7480265991539317,-1.5099999999999998,285.51074052739676,7.595374077976819,3.0531381005525,2.292303972882069,64.66690538413799,10.423315998847038,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.26546827384644,12.611123474374185,0.0,9.901064578912528,11.594566004035068,0.0,0.0,0.0,6.923737199690624,5.316788604006331,24.26546827384644,0.0,5.749511833283905,5.316788604006331,5.687386274683562,5.749511833283905,0.0,11.013707124192212,4.794537184071822,0.0,6.923737199690624,24.26546827384644,0.0,0.0,0.0,49.33,0.0,4.794537184071822,0.0,11.65669156263541,5.687386274683562,0.0,19.056471336613846,12.13273413692322,0.0,5.316788604006331,5.106527394840706,0.0,0.0,10.524468537414965,11.460032596371882,0.690092592592593,0.07851095993953194,6.309537037037037,0.0,1.437358276643991,0.0,0.125,11,2,3,0,0,0,1,0,1,2,2,3,1,0,0,0,1,1.3505999999999998,42.41050000000002
CC(=O)Nc1nnc(S(N)(=O)=O)s1,10.704977796674225,-3.824175170068027,10.704977796674225,0.10789351851851903,0.631858692673233,222.25099999999998,216.20299999999997,221.988132052,72,0,0.2668537466795803,-0.30074625415601214,0.30074625415601214,0.2668537466795803,1.5384615384615385,2.1538461538461537,2.5384615384615383,2.938691458826851,422.35246826398924,10.06047793231507,6.513018912508857,8.146012074364311,5.892865415757242,3.032745770156534,5.395561829005821,2.0993176423790123,4.811973693691262,0.932817186180709,3.081509512109846,0.5258473654376647,1.9053602623835675,-1.06,682.1272768088121,10.023752093802344,3.3584989230794076,2.7167362781176934,78.02145102207903,5.316788604006331,0.0,0.0,15.378393889864384,10.023291153407584,0.0,4.794537184071822,13.556770721936878,0.0,10.197363616602075,11.336785877934737,0.0,6.923737199690624,0.0,13.212334168400758,32.39881524053316,0.0,10.197363616602075,5.138973737607942,11.263392880364169,5.316788604006331,0.0,0.0,0.0,10.455762341614273,5.131558479839333,0.0,11.336785877934737,24.522340330282518,14.817828337479405,0.0,6.923737199690624,4.339655680673546,0.0,0.0,0.0,115.03999999999999,10.023291153407584,13.212334168400758,0.0,15.378393889864384,11.336785877934737,0.0,6.923737199690624,0.0,0.0,15.514152220608405,5.138973737607942,21.08703892668178,0.701018518518518,10.519172808012094,13.841021825396826,0.0,-0.3498894557823127,0.0,0.0,1.2758125472411186,-3.824175170068027,0.25,13,3,7,0,0,0,0,1,1,6,2,9,2,0,0,0,1,-0.8561000000000003,45.5859
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,12.108549382716049,-3.9260807586923643,12.108549382716049,0.031517476697850766,0.8305743326907693,324.402,304.2420000000001,324.11437811999997,120,0,0.32840989086119093,-0.3345904543428104,0.3345904543428104,0.32840989086119093,1.0454545454545454,1.6363636363636365,2.1818181818181817,1.9983584904180298,646.6249497468593,16.164925939000156,12.463526704200184,13.28002328512791,10.381847280265065,7.326368834829517,8.809532082423909,5.494458051704931,7.176860293114448,3.7385960431192613,5.085488155182368,2.5115426641206344,3.426779526667363,-1.8899999999999997,72463.8967143795,16.47999129999836,6.9131515352596775,4.300874900960248,129.89359545525596,5.316788604006331,0.0,5.783244946364939,0.0,10.023291153407584,6.031114512338072,4.794537184071822,17.934429032852847,0.0,0.0,31.395199005701247,31.898114582465862,11.605292320844956,4.895483475517775,18.00687135247258,21.837650612110593,0.0,10.038883468458419,0.0,49.96516961898641,0.0,29.828919765543436,0.0,0.0,10.038883468458419,4.794537184071822,0.0,0.0,26.27399727217991,10.023291153407584,0.0,49.38583399008948,29.160951749364212,0.0,0.0,0.0,92.34,16.054405665745655,18.00687135247258,0.0,16.720569251030675,5.563451491696996,32.10410811463005,31.189205473537065,0.0,4.722094864452088,5.316788604006331,0.0,26.222893361048122,0.0,22.95108672385933,2.6910087291089275,0.4218584732000139,-0.14634380982255268,4.803500970329974,4.996585067197077,1.4021579104381372,-3.9260807586923643,0.4666666666666667,22,2,6,1,0,1,1,0,1,4,2,7,4,1,0,1,2,2.2098000000000004,82.17270000000003
CC(=O)NO,9.45138888888889,-0.43981481481481466,9.45138888888889,0.43981481481481466,0.30133300938287955,75.067,70.027,75.0320284,30,0,0.2397110271679451,-0.288644080922504,0.288644080922504,0.2397110271679451,2.0,2.2,2.2,2.847378923087672,42.91260938324327,4.284457050376173,2.855461885963821,2.855461885963821,2.270055610029662,1.1777309429819105,1.1777309429819105,0.6679896167228868,0.6679896167228868,0.15744694533375334,0.15744694533375334,0.0,0.0,-0.5700000000000001,9.65148445440323,4.43,1.7215451895043727,3.429999999999999,29.563849677551957,0.0,0.0,0.0,5.907179729351506,0.0,0.0,10.001790208849112,5.480096598121202,0.0,0.0,0.0,0.0,6.923737199690624,0.0,10.001790208849112,5.907179729351506,0.0,5.480096598121202,0.0,6.923737199690624,0.0,0.0,0.0,0.0,5.480096598121202,0.0,0.0,0.0,11.114432754128796,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,49.33,5.907179729351506,4.794537184071822,0.0,0.0,0.0,0.0,12.403833797811826,0.0,0.0,0.0,5.20725302477729,0.0,0.0,9.45138888888889,7.543981481481481,1.3888888888888888,-0.43981481481481466,0.0,0.0,1.222222222222222,0.0,0.5,5,2,3,0,0,0,0,0,0,2,2,3,0,0,0,0,0,-0.48829999999999996,15.603200000000001
