smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
Cc1c(CN2CCN(C)CC2)cc(-c2ccc(Cl)cc2)n1-c1ccc(Cl)cc1,6.124385564,0.749316793,6.124385564,0.749316793,0.558105867,414.38,389.18,413.1425532,146,0,0.053417062,-0.313568716,0.313568716,0.053417062,0.821428571,1.392857143,2,1.74521437,937.2288259,19.67299763,16.32925606,17.84111395,13.50804039,9.650775362,10.40670431,7.538370381,8.411241942,5.566643929,6.07059656,3.821233022,4.073209337,-1.78,3144665.842,19.53270669,8.299595029,4.131586856,176.6396869,9.467009379,0,0,0,0,0,4.899909731,0,0,0,35.33461392,67.56288164,54.15036293,5.693927995,0,23.20187978,0,14.36691911,0,13.46849361,33.22669761,75.89994973,0,16.94476576,0,0,0,23.20187978,47.59361672,6.544756406,6.9237372,11.25737949,54.59730362,10.04526663,16.94476576,0,11.41,0,0,0,0,0,54.01988642,16.95130748,0,24.26546827,58.67016363,23.20187978,2.324376732,12.24271027,4.932099507,1.50184551,6.097060343,0,18.446381,0,7.651719761,2.19269577,0.304347826,28,0,3,0,1,1,2,1,3,3,0,5,4,0,1,1,4,5.50692,118.736
Cc1c(CN2CCSCC2)cc(-c2ccc(F)cc2)n1-c1ccccc1,13.40395974,-0.199695025,13.40395974,0.199695025,0.631596493,366.505,343.321,366.156598,134,0,0.122752587,-0.313570455,0.313570455,0.122752587,0.961538462,1.653846154,2.346153846,1.776214862,865.1628351,17.93251065,14.98967655,15.80617313,12.72034669,9.048790664,10.2034912,6.706599271,7.931344142,5.004019286,5.946517927,3.561429187,4.540150001,-2.04,1556139.891,17.37764038,7.683943233,3.57335865,158.1970241,4.567099648,5.817220841,0,0,0,0,4.899909731,4.390415048,11.76188495,0,18.19910121,60.51520966,42.5212907,5.693927995,4.390415048,11.76188495,0,9.467009379,0,13.46849361,24.59522003,77.73827101,0,16.94476576,0,4.390415048,0,11.76188495,34.0622294,6.544756406,12.74095804,11.25737949,60.66367068,0,16.94476576,0,8.17,0,4.390415048,0,5.817220841,0,36.57903498,34.89582084,0,29.96098615,46.72258192,0,15.69688421,2.03446597,2.530365226,0,5.909714375,2.223441335,19.48659208,0,5.451870137,0,0.272727273,26,0,2,0,1,1,2,1,3,3,0,4,4,0,1,1,4,5.14062,108.502
Cc1cc(CNC2CCCCC2)c(C)n1-c1ccc(Cl)cc1,6.00038473,0.701238905,6.00038473,0.701238905,0.823047432,316.876,291.676,316.1706265,118,0,0.045557578,-0.318183995,0.318183995,0.045557578,1.090909091,1.772727273,2.454545455,1.757378189,621.6298949,15.52673326,13.53192037,14.28784932,10.64786705,8.320798601,8.698763074,6.424029232,6.860465013,4.807139947,5.059116262,3.556680112,3.682668269,-1.25,145672.1293,15.63829851,6.887826276,3.389105023,138.0394055,9.883888252,0,0,0,0,0,0,0,0,0,30.86340476,62.58440448,34.68447281,0,0,11.60093989,0,9.883888252,0,58.53817975,0,52.30577614,0,5.687386275,5.316788604,0,0,11.60093989,10.60894048,6.544756406,13.8474744,49.0554156,30.33183534,5.022633314,5.687386275,0,16.96,0,0,0,0,6.041840829,11.56738972,54.74280187,0,12.13273414,41.93046386,11.60093989,2.313702916,6.00038473,0,4.528173885,5.184942917,0,11.08274806,6.817491524,5.350333741,0,0.473684211,22,1,2,1,0,1,1,1,2,2,1,3,4,1,0,1,3,5.16984,93.9657
Cc1c(CN2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc(-c2ccccc2)n1NC(=O)c1ccncc1,12.95784555,-4.331478354,12.95784555,0.222234238,0.361314933,519.571,491.347,519.2245952,196,0,0.415912063,-0.368965557,0.415912063,0.368965557,0.921052632,1.578947368,2.210526316,1.308915738,1377.743237,26.70009537,20.94943377,20.94943377,18.2918449,12.42000606,12.42000606,9.326307582,9.326307582,6.903417246,6.903417246,4.719492556,4.719492556,-4.11,468852858.3,25.53583746,10.70790952,5.573384465,218.8529652,4.899909731,0,0,0,5.907179729,6.176298517,24.78031927,0,13.17124514,0,30.33183534,54.95175817,67.62568643,11.25737949,17.96578233,11.594566,0,14.55999069,0,19.64479212,36.50472675,107.5743744,0,11.25737949,10.32570113,18.85863142,0,0,46.64619605,12.72105492,6.9237372,27.17881965,85.19009196,0,11.25737949,0,53.4,11.73975001,17.96578233,0,5.907179729,12.1082079,66.51390501,0,36.65915542,41.93167498,26.27595645,0,40.53861423,0,21.37799499,0,7.644057622,-0.222234238,20.7246518,-1.154315098,5.674564037,0,0.24137931,38,1,6,0,1,1,2,2,4,5,1,9,6,0,1,1,5,5.58342,141.4672
C[C@H]1C(NC(=O)c2cc3c(F)cc(F)cc3[nH]2)C[C@@H]2C[C@H]1C2(C)C,13.7951716,-0.658029194,13.7951716,0.140991014,0.848430608,332.394,310.218,332.1700198,128,0,0.267456955,-0.350357071,0.350357071,0.267456955,1.25,2,2.666666667,1.540775363,826.1262741,17.22325016,14.11984268,14.11984268,11.26889408,8.557174927,8.557174927,8.067120058,8.067120058,6.567550818,6.567550818,4.869259887,4.869259887,-1.91,290362.7932,15.60801065,5.041551068,2.169646802,139.3673841,10.30076712,17.32836968,0,0,5.907179729,0,4.794537184,8.780830095,0,0,20.7712116,48.14308599,17.49443211,5.516700718,13.57536728,16.81010466,0,10.30076712,23.16870861,39.65469567,0,35.52747088,0,0,5.316788604,8.780830095,0,0,16.93299908,0,34.80315029,44.10132002,18.19910121,0,10.90292493,0,44.89,11.63444168,13.57536728,0,23.02917277,28.68540933,12.48718869,18.55355576,0,0,31.07197872,0,27.08701567,0,15.37666623,3.330346251,0.945476568,0.148046583,3.631480598,2.233171907,6.831129522,0,0.526315789,24,2,3,3,0,3,1,1,2,1,2,5,2,3,0,3,5,4.2466,88.6279
COc1ccn2nc(C)c(C(=O)NCc3ccc(N4CCN(c5ccc(F)cc5)CC4)cc3)c2c1,13.19005569,-0.210459775,13.19005569,0.160421551,0.457962706,473.552,445.328,473.2227034,180,0,0.255165485,-0.496627155,0.496627155,0.255165485,0.971428571,1.571428571,2.171428571,1.188083611,1326.452927,24.36323207,19.8697023,19.8697023,17.01237169,11.67221589,11.67221589,8.656426426,8.656426426,6.470247772,6.470247772,4.521922536,4.521922536,-4.07,133175474.8,22.70890442,9.657311318,4.774430016,203.2756915,19.85347102,11.56673267,0,0,5.907179729,0,4.794537184,8.905812941,5.098681808,0,12.13273414,54.95175817,56.36176522,23.88387775,13.92181519,22.798653,0,14.93086831,0,13.46849361,43.08864263,89.49856608,0,5.749511833,19.85347102,15.7651876,5.749511833,0,48.8100826,6.544756406,12.74095804,21.61536816,66.86051426,0,5.516700718,0,62.11,0,9.184952232,0,11.72440057,23.55164773,48.63395038,12.13273414,17.82203901,43.32193961,32.34802401,4.736862954,20.17819416,0,17.57626046,7.449745145,5.180630729,0.310172305,18.60301868,1.787847066,5.813024833,1.601106633,0.259259259,35,1,7,0,1,1,2,2,4,6,1,8,6,0,1,1,5,4.04702,134.9192
O=c1[nH]c2c(cc1CNCc1cccc(C(F)(F)F)c1)c(C1CC1)nn2-c1ccccc1,12.91525838,-4.378654984,12.91525838,0.222377518,0.450201178,438.453,417.285,438.166746,164,0,0.415920313,-0.308411885,0.415920313,0.308411885,1.03125,1.8125,2.53125,1.413663444,1320.824716,22.29431797,17.11584899,17.11584899,15.39799805,10.4706776,10.4706776,8.094538924,8.094538924,5.656460075,5.656460075,3.88198443,3.88198443,-3.39,34187527.11,20.50921668,7.943606119,4.05437538,181.4459495,10.30076712,5.647177221,0,0,5.559266895,6.176298517,4.794537184,4.681802935,18.26992695,0,36.39820241,42.67056301,29.95709456,16.94476576,13.17124514,11.03340144,0,20.08125187,0,38.02536062,0,93.40175723,0,5.687386275,10.8760555,13.17124514,0,0,14.76446326,19.26581133,0,41.14383176,65.45820787,0,16.72078771,0,62.71,11.73975001,17.96578233,0,18.64877971,22.69198625,41.74191587,6.066367068,10.74817,36.39820241,10.30076712,5.098681808,40.51386048,0,15.71626623,8.783449485,2.609495937,0.388223875,16.67825541,-2.233498845,0.460614086,0,0.25,32,2,5,1,0,1,2,2,4,4,2,8,6,1,0,1,5,4.8998,115.6534
Cc1ccc2nc(C)c(C(=O)NCCOc3ccc(Br)cc3)n2c1,12.47419111,-0.148142479,12.47419111,0.148142479,0.680878431,388.265,370.121,387.0582389,124,0,0.269826921,-0.491761117,0.491761117,0.269826921,1.208333333,1.958333333,2.708333333,1.618671752,871.8512999,17.10408353,13.54455369,15.13055023,11.5417139,7.662811075,8.455809345,5.538753989,6.454429518,3.625775836,4.15444135,2.490107082,2.754439839,-2.34,334202.5894,16.51541937,7.048052345,3.591197827,148.3434934,10.05365156,23.69749901,0,0,5.907179729,0,9.19523179,4.983978521,0,0,21.99631097,49.74276123,10.66956309,12.2386844,9.531400138,27.48430085,0,14.70146173,0,13.8474744,13.15163837,64.01907298,0,5.749511833,10.05365156,0,5.749511833,15.9299439,28.44349123,0,13.8474744,21.74584467,47.0677655,0,5.647177221,0,55.63,0,4.794537184,0,5.907179729,24.53949436,21.43286006,0,0,60.84321499,26.23071102,4.736862954,8.437972158,3.379099004,16.8999785,2.885102592,3.130698001,0.624132428,11.48008717,1.919221716,4.660375102,0,0.222222222,24,1,5,0,0,0,1,2,3,4,1,6,5,0,0,0,3,3.52244,96.6362
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,14.44791399,-0.538079124,14.44791399,0.189437532,0.891597389,337.351,317.191,337.1437843,130,0,0.41431651,-0.442045997,0.442045997,0.41431651,1.375,2.125,2.791666667,1.692165277,633.7485799,17.10408353,13.45742659,13.45742659,11.5417139,7.891994736,7.891994736,5.78859462,5.78859462,4.047468084,4.047468084,2.820652008,2.820652008,-2.35,354672.9581,16.50576747,7.04165962,3.587168117,138.8543615,19.69042424,11.92118723,0,5.907179729,0,6.093240071,9.694446915,9.184952232,0,0,0,18.19910121,20.01325001,37.67804929,23.45321532,23.37519235,0,5.316788604,0,13.02770359,49.19260901,24.01632205,0,0,15.11660807,20.55972478,0,0,57.49717574,14.26826309,5.817220841,6.9237372,18.19910121,0,0,0,71.11,12.19720646,13.97948942,0,24.81391338,37.67804929,0,17.890014,12.13273414,4.899909731,5.316788604,9.473725908,24.90424579,0,26.20173633,2.608128983,0.948375065,-0.57137182,4.715445143,-0.979393014,4.339500184,0,0.5,24,1,7,0,2,2,1,0,1,5,1,8,4,0,2,2,3,1.1236,85.7307
CC(=O)NC[C@H]1CN(c2ccc(N3CCSCC3)c(F)c2)C(=O)O1,14.4819276,-0.521412457,14.4819276,0.180934131,0.894983794,353.419,333.259,353.1209407,130,0,0.41431651,-0.442045997,0.442045997,0.41431651,1.416666667,2.166666667,2.833333333,1.692165277,636.9936924,17.10408353,13.45742659,14.27392317,11.5417139,7.891994736,9.046695275,5.78859462,7.013339492,4.047468084,4.989966724,2.820652008,3.723748119,-1.96,354672.9581,16.882398,7.292258696,3.745734445,143.8639263,14.95356129,11.92118723,0,5.907179729,0,6.093240071,9.694446915,9.184952232,11.76188495,0,0,18.19910121,31.51895723,24.46428536,18.71635237,35.1370773,0,5.316788604,0,13.02770359,47.4845523,24.01632205,0,0,15.11660807,20.55972478,0,11.76188495,55.78911903,9.531400138,5.817220841,6.9237372,18.19910121,0,0,0,61.88,12.19720646,13.97948942,0,24.81391338,11.37477255,24.59522003,17.890014,12.13273414,16.66179468,5.316788604,4.736862954,19.68377608,1.866392647,26.34766064,2.617990916,1.041083398,1.464521387,4.82976865,-0.948952243,3.597758526,0,0.5,24,1,6,0,2,2,1,0,1,5,1,8,4,0,2,2,3,1.8402,92.2367
