Source,Target,Type,Weight
277,59,undirected,1
277,189,undirected,1
264,148,undirected,1
264,277,undirected,1
251,196,undirected,1
251,264,undirected,1
245,187,undirected,1
245,251,undirected,1
434,133,undirected,1
434,185,undirected,1
334,116,undirected,1
334,434,undirected,1
290,124,undirected,1
290,334,undirected,1
255,89,undirected,1
255,290,undirected,1
244,100,undirected,1
244,255,undirected,1
237,244,undirected,1
237,245,undirected,1
252,75,undirected,1
252,214,undirected,1
236,181,undirected,1
236,252,undirected,1
232,236,undirected,1
232,237,undirected,1
270,84,undirected,1
270,96,undirected,1
335,200,undirected,1
335,216,undirected,1
269,220,undirected,1
269,335,undirected,1
259,269,undirected,1
259,270,undirected,1
258,105,undirected,1
258,171,undirected,1
250,258,undirected,1
250,259,undirected,1
265,72,undirected,1
265,142,undirected,1
249,188,undirected,1
249,265,undirected,1
241,249,undirected,1
241,250,undirected,1
300,21,undirected,1
300,119,undirected,1
291,178,undirected,1
291,300,undirected,1
266,53,undirected,1
266,291,undirected,1
240,138,undirected,1
240,266,undirected,1
231,240,undirected,1
231,241,undirected,1
230,231,undirected,1
230,232,undirected,1
438,58,undirected,1
438,109,undirected,1
437,115,undirected,1
437,153,undirected,1
432,437,undirected,1
432,438,undirected,1
431,113,undirected,1
431,182,undirected,1
367,431,undirected,1
367,432,undirected,1
363,102,undirected,1
363,367,undirected,1
337,137,undirected,1
337,363,undirected,1
297,212,undirected,1
297,337,undirected,1
426,11,undirected,1
426,12,undirected,1
425,118,undirected,1
425,180,undirected,1
401,425,undirected,1
401,426,undirected,1
388,175,undirected,1
388,401,undirected,1
369,128,undirected,1
369,388,undirected,1
296,107,undirected,1
296,369,undirected,1
279,296,undirected,1
279,297,undirected,1
327,50,undirected,1
327,192,undirected,1
326,16,undirected,1
326,203,undirected,1
311,326,undirected,1
311,327,undirected,1
382,90,undirected,1
382,147,undirected,1
381,121,undirected,1
381,135,undirected,1
362,381,undirected,1
362,382,undirected,1
310,111,undirected,1
310,362,undirected,1
278,310,undirected,1
278,311,undirected,1
261,278,undirected,1
261,279,undirected,1
442,141,undirected,1
442,167,undirected,1
436,152,undirected,1
436,442,undirected,1
435,130,undirected,1
435,132,undirected,1
430,435,undirected,1
430,436,undirected,1
359,114,undirected,1
359,430,undirected,1
443,101,undirected,1
443,104,undirected,1
358,85,undirected,1
358,443,undirected,1
345,358,undirected,1
345,359,undirected,1
378,2,undirected,1
378,79,undirected,1
344,47,undirected,1
344,378,undirected,1
299,344,undirected,1
299,345,undirected,1
429,126,undirected,1
429,190,undirected,1
403,106,undirected,1
403,429,undirected,1
377,179,undirected,1
377,403,undirected,1
376,97,undirected,1
376,144,undirected,1
298,376,undirected,1
298,377,undirected,1
283,298,undirected,1
283,299,undirected,1
325,31,undirected,1
325,131,undirected,1
404,95,undirected,1
404,174,undirected,1
374,78,undirected,1
374,404,undirected,1
428,37,undirected,1
428,99,undirected,1
373,66,undirected,1
373,428,undirected,1
324,373,undirected,1
324,374,undirected,1
309,324,undirected,1
309,325,undirected,1
341,42,undirected,1
341,83,undirected,1
308,162,undirected,1
308,341,undirected,1
282,308,undirected,1
282,309,undirected,1
260,282,undirected,1
260,283,undirected,1
248,260,undirected,1
248,261,undirected,1
357,6,undirected,1
357,32,undirected,1
405,43,undirected,1
405,120,undirected,1
392,35,undirected,1
392,405,undirected,1
356,36,undirected,1
356,392,undirected,1
340,356,undirected,1
340,357,undirected,1
393,3,undirected,1
393,61,undirected,1
380,39,undirected,1
380,393,undirected,1
402,67,undirected,1
402,160,undirected,1
379,33,undirected,1
379,402,undirected,1
339,379,undirected,1
339,380,undirected,1
314,339,undirected,1
314,340,undirected,1
372,34,undirected,1
372,80,undirected,1
351,71,undirected,1
351,372,undirected,1
385,22,undirected,1
385,63,undirected,1
350,222,undirected,1
350,385,undirected,1
313,350,undirected,1
313,351,undirected,1
293,313,undirected,1
293,314,undirected,1
398,70,undirected,1
398,87,undirected,1
390,20,undirected,1
390,398,undirected,1
410,93,undirected,1
410,201,undirected,1
409,112,undirected,1
409,129,undirected,1
406,409,undirected,1
406,410,undirected,1
400,10,undirected,1
400,406,undirected,1
399,218,undirected,1
399,221,undirected,1
389,399,undirected,1
389,400,undirected,1
371,389,undirected,1
371,390,undirected,1
395,56,undirected,1
395,69,undirected,1
394,136,undirected,1
394,210,undirected,1
370,394,undirected,1
370,395,undirected,1
354,370,undirected,1
354,371,undirected,1
387,28,undirected,1
387,55,undirected,1
353,18,undirected,1
353,387,undirected,1
343,353,undirected,1
343,354,undirected,1
413,13,undirected,1
413,19,undirected,1
408,54,undirected,1
408,413,undirected,1
407,1,undirected,1
407,4,undirected,1
397,407,undirected,1
397,408,undirected,1
419,25,undirected,1
419,68,undirected,1
417,5,undirected,1
417,419,undirected,1
416,44,undirected,1
416,417,undirected,1
424,29,undirected,1
424,73,undirected,1
423,7,undirected,1
423,424,undirected,1
422,8,undirected,1
422,423,undirected,1
421,14,undirected,1
421,422,undirected,1
420,17,undirected,1
420,49,undirected,1
418,420,undirected,1
418,421,undirected,1
415,9,undirected,1
415,418,undirected,1
414,415,undirected,1
414,416,undirected,1
412,98,undirected,1
412,414,undirected,1
411,23,undirected,1
411,24,undirected,1
396,411,undirected,1
396,412,undirected,1
342,396,undirected,1
342,397,undirected,1
292,342,undirected,1
292,343,undirected,1
276,292,undirected,1
276,293,undirected,1
386,110,undirected,1
386,156,undirected,1
360,92,undirected,1
360,386,undirected,1
329,45,undirected,1
329,360,undirected,1
328,40,undirected,1
328,51,undirected,1
302,328,undirected,1
302,329,undirected,1
445,60,undirected,1
445,76,undirected,1
444,26,undirected,1
444,445,undirected,1
384,165,undirected,1
384,444,undirected,1
361,74,undirected,1
361,384,undirected,1
346,86,undirected,1
346,361,undirected,1
301,30,undirected,1
301,346,undirected,1
275,301,undirected,1
275,302,undirected,1
247,275,undirected,1
247,276,undirected,1
239,247,undirected,1
239,248,undirected,1
322,215,undirected,1
322,223,undirected,1
433,48,undirected,1
433,198,undirected,1
368,161,undirected,1
368,433,undirected,1
321,205,undirected,1
321,368,undirected,1
307,321,undirected,1
307,322,undirected,1
306,123,undirected,1
306,219,undirected,1
287,306,undirected,1
287,307,undirected,1
375,127,undirected,1
375,213,undirected,1
348,207,undirected,1
348,375,undirected,1
347,194,undirected,1
347,204,undirected,1
333,347,undirected,1
333,348,undirected,1
312,65,undirected,1
312,333,undirected,1
286,62,undirected,1
286,312,undirected,1
272,286,undirected,1
272,287,undirected,1
427,176,undirected,1
427,177,undirected,1
391,15,undirected,1
391,427,undirected,1
364,77,undirected,1
364,391,undirected,1
332,163,undirected,1
332,364,undirected,1
366,82,undirected,1
366,169,undirected,1
365,146,undirected,1
365,199,undirected,1
331,365,undirected,1
331,366,undirected,1
271,331,undirected,1
271,332,undirected,1
254,271,undirected,1
254,272,undirected,1
440,88,undirected,1
440,103,undirected,1
439,27,undirected,1
439,150,undirected,1
349,439,undirected,1
349,440,undirected,1
316,206,undirected,1
316,349,undirected,1
315,155,undirected,1
315,164,undirected,1
295,315,undirected,1
295,316,undirected,1
336,157,undirected,1
336,168,undirected,1
294,166,undirected,1
294,336,undirected,1
274,294,undirected,1
274,295,undirected,1
338,143,undirected,1
338,186,undirected,1
320,183,undirected,1
320,338,undirected,1
383,154,undirected,1
383,209,undirected,1
319,217,undirected,1
319,383,undirected,1
273,319,undirected,1
273,320,undirected,1
253,273,undirected,1
253,274,undirected,1
238,253,undirected,1
238,254,undirected,1
235,238,undirected,1
235,239,undirected,1
289,122,undirected,1
289,191,undirected,1
268,91,undirected,1
268,289,undirected,1
318,41,undirected,1
318,208,undirected,1
317,94,undirected,1
317,211,undirected,1
267,317,undirected,1
267,318,undirected,1
257,267,undirected,1
257,268,undirected,1
288,151,undirected,1
288,197,undirected,1
256,140,undirected,1
256,288,undirected,1
243,256,undirected,1
243,257,undirected,1
303,117,undirected,1
303,134,undirected,1
281,108,undirected,1
281,303,undirected,1
280,64,undirected,1
280,172,undirected,1
263,280,undirected,1
263,281,undirected,1
355,158,undirected,1
355,184,undirected,1
330,139,undirected,1
330,355,undirected,1
305,193,undirected,1
305,330,undirected,1
441,125,undirected,1
441,195,undirected,1
352,149,undirected,1
352,441,undirected,1
304,159,undirected,1
304,352,undirected,1
285,304,undirected,1
285,305,undirected,1
323,170,undirected,1
323,173,undirected,1
284,46,undirected,1
284,323,undirected,1
262,284,undirected,1
262,285,undirected,1
242,262,undirected,1
242,263,undirected,1
234,242,undirected,1
234,243,undirected,1
229,234,undirected,1
229,235,undirected,1
228,229,undirected,1
228,230,undirected,1
246,52,undirected,1
246,145,undirected,1
233,81,undirected,1
233,246,undirected,1
227,38,undirected,1
227,233,undirected,1
226,227,undirected,1
226,228,undirected,1
225,202,undirected,1
225,226,undirected,1
224,57,undirected,1
224,225,undirected,1
