Id,ChEMBL_IDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,Aff
1,CHEMBL532,14.07322487,-1.994405755,14.07322487,0.093554949,0.237872506,733.937,666.401,733.4612412,298,0,0.31118842,-0.458936581,0.458936581,0.31118842,0.882352941,1.490196078,2.039215686,2.183066335,1167.298166,38.96337266,32.93794906,32.93794906,23.4255188,18.49411747,18.49411747,16.47185399,16.47185399,11.82155304,11.82155304,8.410333559,8.410333559,-1.3,26903252120,44.09945527,17.01447879,9.506326969,303.5949917,58.85372443,29.69619492,12.58005346,0,0,5.969305288,9.589074368,0,0,0,27.6949488,74.90023203,37.32617813,47.63983961,63.54288907,11.75255023,0,4.899909731,23.67162418,179.1774363,21.20514151,0,0,0,0,0,0,0,147.6470163,38.01025209,23.67162418,94.92065849,0,0,0,0,193.91,107.535145,35.12171134,0,31.40827209,6.420821623,0,27.88100914,41.5424232,25.9189909,0,28.42117772,0,0,0,0,0,0,0,0,0,126.0833333,0.945945946,51,5,14,0,3,3,0,0,0,14,5,14,7,0,3,3,3,1.7856,186.258,4.666
2,CHEMBL1682729,14.51596493,-1.9273114,14.51596493,0.09626933,0.117602916,930.191,846.527,929.5936523,376,0,0.31888764,-0.458935816,0.458935816,0.31888764,0.984615385,1.646153846,2.230769231,1.747040917,1662.23552,48.92962798,41.56905167,41.56905167,30.17953899,23.42952843,23.42952843,20.15409848,20.15409848,14.21438697,14.21438697,10.20213094,10.20213094,-2.53,2.61876E+13,55.06976844,22.71741514,13.17211889,385.6666302,74.01039657,41.39823063,18.34030088,0,0,12.0004198,9.694446915,4.794537184,0,0,25.92787486,108.0101713,51.16647609,41.53587322,68.065984,17.68780607,0,20.27327132,17.75371814,205.4875732,46.15619933,11.45417541,0,0,10.63357721,10.48192346,0,0,183.6275689,33.21571491,31.60119254,112.7956555,4.523094937,0,0,0,247.24,101.9890433,35.12171134,0,43.87093454,43.07271775,0,14.03353474,62.3136348,37.74263783,15.79024047,32.94427266,0,0,0,0,0,0,0,0,5.157540242,149.4257931,0.891304348,65,7,19,0,3,3,0,1,1,17,7,19,12,0,3,3,4,3.08754,240.7374,4.89
3,CHEMBL1682730,14.4629727,-1.872935003,14.4629727,0.113963342,0.061379891,913.657,832.009,912.5260227,358,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.983606557,1.62295082,2.213114754,2.150470651,1372.038654,46.19757718,39.00576781,40.57819334,28.3405337,22.19003793,23.13280871,18.94568681,19.73189957,13.32253388,13.80019125,9.606243717,9.90485898,-1.03,3.04395E+12,54.30418649,23.42854702,13.98861079,375.1447268,69.48730164,30.01691636,17.69249034,0,0,5.969305288,9.694446915,0,0,11.60093989,20.7712116,106.3805703,63.59123594,41.53587322,58.74835188,34.90055551,0,20.43339667,17.75371814,191.6400988,53.26417058,0,0,0,10.63357721,0,0,23.81881333,189.9769878,33.21571491,17.75371814,101.3414801,0,0,0,0,204.14,95.95792882,30.32717416,0,37.32617813,50.0131092,0,14.03353474,34.618686,46.69020249,15.53348694,52.23999106,0,11.17245459,0,0,0,0,0,0,0,131.6886565,0.953488372,61,7,16,0,3,3,0,0,0,15,7,18,13,0,3,3,3,2.3639,237.0624,4.89
4,CHEMBL3392931,14.07322487,-1.994405755,14.07322487,0.093554949,0.237872506,733.937,666.401,733.4612412,298,0,0.31118842,-0.458936581,0.458936581,0.31118842,0.882352941,1.490196078,2.039215686,2.183066335,1167.298166,38.96337266,32.93794906,32.93794906,23.4255188,18.49411747,18.49411747,16.47185399,16.47185399,11.82155304,11.82155304,8.410333559,8.410333559,-1.3,26903252120,44.09945527,17.01447879,9.506326969,303.5949917,58.85372443,29.69619492,12.58005346,0,0,5.969305288,9.589074368,0,0,0,27.6949488,74.90023203,37.32617813,47.63983961,63.54288907,11.75255023,0,4.899909731,23.67162418,179.1774363,21.20514151,0,0,0,0,0,0,0,147.6470163,38.01025209,23.67162418,94.92065849,0,0,0,0,193.91,107.535145,35.12171134,0,31.40827209,6.420821623,0,27.88100914,41.5424232,25.9189909,0,28.42117772,0,0,0,0,0,0,0,0,0,126.0833333,0.945945946,51,5,14,0,3,3,0,0,0,14,5,14,7,0,3,3,3,1.7856,186.258,5
5,CHEMBL1081114,13.01708173,-0.670540045,13.01708173,0.008546889,0.16046112,570.362,536.09,568.0823838,176,0,0.338205647,-0.507662975,0.507662975,0.338205647,1.09375,1.8125,2.53125,1.78005453,955.1453104,23.47432702,19.63462972,22.80662279,14.85464493,11.55881252,13.39016358,10.82529375,13.03593003,8.000164341,11.02892372,5.413892691,6.428427217,-0.85,12136986.66,24.28014455,8.423128014,4.437339795,207.9410904,14.5802533,11.35056264,0,0,0,5.969305288,0,4.794537184,0,0,49.92983406,89.98243123,10.24216454,22.09564276,19.37479049,37.82919308,0,0,5.414990469,100.1040319,0,40.47221325,0,5.749511833,0,0,5.749511833,31.8598878,38.03624883,15.89454753,5.414990469,82.64423428,29.34531027,0,0,0,59.06,5.601050811,9.901064579,0,33.66599886,16.81144718,37.66755961,11.14620906,18.19910121,13.8474744,52.63109939,9.473725908,0,0,0,0,0,0,0,0,0,60.48059538,0.653846154,32,1,4,1,2,3,1,0,1,4,1,6,0,0,1,1,4,6.8551,133.9053,5.08
6,CHEMBL1682724,14.43401662,-1.892810907,14.43401662,0.107572053,0.110235736,863.144,780.488,862.5878387,352,0,0.31428049,-0.458935816,0.458935816,0.31428049,0.95,1.6,2.183333333,2.167340571,1343.461464,45.49047039,38.92069656,38.92069656,27.8405337,22.12988347,22.12988347,18.86025797,18.86025797,13.27981946,13.27981946,9.606024252,9.606024252,-1.74,1.85266E+12,52.60353293,22.24642045,12.9319572,358.6442024,69.48730164,30.01691636,12.58005346,0,0,12.0004198,9.694446915,4.794537184,0,0,20.7712116,101.0864341,57.71123249,41.53587322,63.54288907,12.0004198,0,20.43339667,17.75371814,198.563836,47.38416713,0,0,0,10.63357721,4.794537184,0,0,185.015662,33.21571491,17.75371814,108.2652173,0,0,0,0,221.21,95.95792882,35.12171134,0,43.35729264,39.02066887,0,14.03353474,41.5424232,51.59011223,10.63357721,28.42117772,0,0,0,0,0,0,0,0,0,142.5833333,0.953488372,60,7,17,0,3,3,0,0,0,15,7,17,12,0,3,3,3,1.9801,224.8144,5.14
7,CHEMBL414883,12.4904343,-0.802332294,12.4904343,0.034818673,0.542436823,364.781,347.645,364.0713659,132,0,0.342036214,-0.506895471,0.506895471,0.342036214,1.2,1.96,2.72,2.014635303,782.2612361,18.13746372,13.43840054,14.19432949,11.8630811,7.839320751,8.217285224,6.060238648,6.438203121,4.064544688,4.486290798,2.779774686,2.995635588,-2.31,539079.9763,17.51101903,6.89739519,3.857476033,148.8617085,19.6867807,29.27040793,5.783244946,0,0,5.969305288,4.794537184,4.794537184,0,0,29.82900021,12.99975731,24.47146181,11.1265997,29.27585507,23.35349012,0,0,0,38.07727961,0,46.51998379,0,11.49902367,0,0,11.49902367,11.60093989,40.27750419,20.68908471,0,29.26599899,30.3704475,5.022633314,0,0,96.36,23.57229534,19.80212916,0,40.56153564,6.420821623,6.066367068,6.076020107,19.07577741,6.076020107,0,21.0746658,0,6.052070482,0,0,0,0,0,0,0,61.7257073,0.333333333,25,2,6,0,2,2,1,0,1,6,2,7,0,0,1,1,3,2.6916,89.9281,5.195
8,CHEMBL1173442,12.32305165,-0.981835895,12.32305165,0.016183128,0.427549686,334.368,312.192,334.1416384,130,0,0.34231145,-0.507799736,0.507799736,0.34231145,1.166666667,1.916666667,2.666666667,2.364649609,649.1542251,17.68986997,13.42282373,13.42282373,11.37991785,7.844614363,7.844614363,5.846562668,5.846562668,3.767153707,3.767153707,2.462851265,2.462851265,-2.31,169026.4878,18.03480877,7.987436978,4.594802614,139.8776736,25.16297253,23.16644155,0,0,0,5.969305288,0,4.794537184,0,0,24.30408043,31.39519901,12.48718869,12.20793278,29.95750972,12.04532539,0,0,0,44.49810123,0,41.48769744,0,11.49902367,0,0,11.49902367,0,44.70731403,4.736862954,0,42.10764224,30.36079446,0,6.076020107,0,107.22,24.28120445,25.22064676,0,17.06247516,24.82591636,6.066367068,12.14238718,25.15179752,0,0,4.736862954,0,0,0,0,0,0,0,0,0,65.33333333,0.388888889,24,4,6,0,1,1,1,0,1,6,4,6,0,0,0,0,2,2.1182,88.6877,5.245
9,CHEMBL1257966,12.9550832,-1.131210304,12.9550832,0.172153536,0.430286101,426.597,388.293,426.2770097,170,0,0.338015305,-0.507663163,0.507663163,0.338015305,1.193548387,1.903225806,2.612903226,2.333151308,853.9874514,23.01829709,19.70212312,19.70212312,14.58022458,11.28110528,11.28110528,9.297192462,9.297192462,5.963972456,5.963972456,3.777410688,3.777410688,-2.33,3985706.949,24.93508877,11.33465197,8.023624441,186.8840821,14.94991774,11.85347822,0,0,0,5.969305288,0,4.794537184,0,0,34.94737391,103.3269901,0,11.1645023,19.74445493,5.969305288,0,0,0,91.26945456,0,64.2733781,0,5.749511833,0,0,5.749511833,0,27.88737728,11.15768458,0,89.0650559,53.14647512,0,0,0,66.76,17.67432249,15.00759197,0,5.749511833,30.38936785,25.68328649,16.71931359,25.12283841,13.8474744,32.07553472,4.736862954,0,0,0,0,0,0,0,0,0,69.25,0.518518519,31,2,4,0,1,1,1,0,1,4,2,4,4,0,0,0,2,6.4241,126.2851,5.28
10,CHEMBL224345,13.92782319,-1.402434403,13.92782319,0.008683242,0.139772105,741.842,694.466,741.3373781,286,0,0.329284545,-0.507966645,0.507966645,0.329284545,0.685185185,1.259259259,1.907407407,1.634622292,1809.347733,39.19973089,30.71838894,30.71838894,25.76496834,17.62660737,17.62660737,13.2860065,13.2860065,8.475683961,8.475683961,5.384695885,5.384695885,-6.18,3.93217E+11,40.5885063,19.59881142,12.79387941,313.6186516,41.16419632,42.27326895,6.103966388,23.62871892,5.907179729,5.969305288,23.97268592,4.794537184,0,0,60.17040815,74.72679165,19.26246487,6.544756406,43.34747641,35.50520393,0,26.58394302,0,77.22874337,13.15163837,107.202251,0,11.49902367,31.32080597,0,11.49902367,0,84.0346994,52.76655093,0,44.38530327,90.51189653,0,0,0,201.26,72.32129004,33.8737505,0,25.0119767,29.04674827,5.57310453,25.98020854,66.73003775,19.92349451,26.58394302,9.473725908,0,0,0,0,0,0,0,0,0,137.6666667,0.35,54,6,14,0,1,1,3,0,3,9,6,14,9,0,1,1,4,1.7857,198.9893,5.31
